Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
1995-05-09,523.5599975585938,525.989990234375,521.7899780273438,523.9600219726562,361300000
1995-05-10,524.3599853515625,524.4000244140625,521.530029296875,523.739990234375,381990000
1995-05-11,524.3699951171875,524.8900146484375,522.7000122070312,524.3300170898438,339900000
1995-05-12,525.5499877929688,527.0499877929688,523.2999877929688,524.3699951171875,361000000
1995-05-15,527.739990234375,527.739990234375,525.0,525.5499877929688,316240000
1995-05-16,528.1900024414062,529.0800170898438,526.4500122070312,527.739990234375,366180000
1995-05-17,527.0700073242188,528.4199829101562,525.3800048828125,528.1900024414062,347930000
1995-05-18,519.5800170898438,526.8800048828125,519.5800170898438,526.8800048828125,351900000
1995-05-19,519.1900024414062,519.5800170898438,517.0700073242188,519.5800170898438,354010000
1995-05-22,523.6500244140625,524.3400268554688,519.1900024414062,519.1900024414062,285600000
1995-05-23,528.5900268554688,528.5900268554688,523.6500244140625,523.6500244140625,362690000
1995-05-24,528.6099853515625,531.9099731445312,525.5700073242188,528.5900268554688,391770000
1995-05-25,528.5900268554688,529.0399780273438,524.8900146484375,528.3699951171875,341820000
1995-05-26,523.6500244140625,528.5900268554688,522.510009765625,528.5900268554688,291220000
1995-05-30,523.5800170898438,525.5800170898438,521.3800048828125,523.6500244140625,283020000
1995-05-31,533.4000244140625,533.4099731445312,522.1699829101562,523.7000122070312,358180000
1995-06-01,533.489990234375,534.2100219726562,530.0499877929688,533.4000244140625,345920000
1995-06-02,532.510009765625,536.9099731445312,529.5499877929688,533.489990234375,366000000
1995-06-05,535.5999755859375,537.72998046875,532.469970703125,532.510009765625,337520000
1995-06-06,535.5499877929688,537.0900268554688,535.1400146484375,535.5999755859375,340490000
1995-06-07,533.1300048828125,535.5499877929688,531.6599731445312,535.5499877929688,327790000
1995-06-08,532.3499755859375,533.5599975585938,531.6500244140625,533.1300048828125,289880000
1995-06-09,527.9400024414062,532.3499755859375,526.0,532.3499755859375,327570000
1995-06-12,530.8800048828125,532.5399780273438,527.9400024414062,527.9400024414062,289920000
1995-06-13,536.0499877929688,536.22998046875,530.8800048828125,530.8800048828125,339660000
1995-06-14,536.469970703125,536.47998046875,533.8300170898438,536.0499877929688,330770000
1995-06-15,537.1199951171875,539.0700073242188,535.5599975585938,536.47998046875,334700000
1995-06-16,539.8300170898438,539.97998046875,537.1199951171875,537.510009765625,442740000
1995-06-19,545.219970703125,545.219970703125,539.8300170898438,539.8300170898438,322990000
1995-06-20,544.97998046875,545.4400024414062,543.4299926757812,545.219970703125,382370000
1995-06-21,543.97998046875,545.9299926757812,543.9000244140625,544.97998046875,398210000
1995-06-22,551.0700073242188,551.0700073242188,543.97998046875,543.97998046875,421000000
1995-06-23,549.7100219726562,551.0700073242188,548.22998046875,551.0700073242188,321660000
1995-06-26,544.1300048828125,549.7899780273438,544.0599975585938,549.7100219726562,296720000
1995-06-27,542.4299926757812,547.0700073242188,542.1900024414062,544.1099853515625,346950000
1995-06-28,544.72998046875,546.3300170898438,540.719970703125,542.4299926757812,368060000
1995-06-29,543.8699951171875,546.25,540.7899780273438,544.72998046875,313080000
1995-06-30,544.75,546.8200073242188,543.510009765625,543.8699951171875,311650000
1995-07-03,547.0900268554688,547.0999755859375,544.4299926757812,544.75,117900000
1995-07-05,547.260009765625,549.97998046875,546.280029296875,547.0900268554688,357850000
1995-07-06,553.989990234375,553.989990234375,546.5900268554688,547.260009765625,420500000
1995-07-07,556.3699951171875,556.5700073242188,553.0499877929688,553.9000244140625,466540000
1995-07-10,557.1900024414062,558.47998046875,555.77001953125,556.3699951171875,409700000
1995-07-11,554.780029296875,557.1900024414062,553.7999877929688,556.780029296875,376770000
1995-07-12,560.8900146484375,561.5599975585938,554.27001953125,555.27001953125,416360000
1995-07-13,561.0,562.0,559.0700073242188,560.8900146484375,387500000
1995-07-14,559.8900146484375,561.0,556.4099731445312,561.0,312930000
1995-07-17,562.719970703125,562.9400024414062,559.4500122070312,560.3400268554688,322540000
1995-07-18,558.4600219726562,562.719970703125,556.8599853515625,562.5499877929688,372230000
1995-07-19,550.97998046875,558.4600219726562,542.510009765625,556.5800170898438,489850000
1995-07-20,553.5399780273438,554.4299926757812,549.0999755859375,550.97998046875,383380000
1995-07-21,553.6199951171875,554.72998046875,550.9099731445312,553.3400268554688,431830000
1995-07-24,556.6300048828125,557.2100219726562,553.6199951171875,553.6199951171875,315300000
1995-07-25,561.0999755859375,561.75,556.3400268554688,556.6300048828125,373200000
